educ,meduc,feduc,age,kids,black,east,northcen,west,farm,othrural,town,smcity,year
12,8,8,48,4,0,0,1,0,0,0,0,0,2002
17,8,18,46,3,0,0,0,0,0,1,0,0,2002
12,7,8,53,2,0,0,1,0,0,1,0,0,2002
12,12,10,42,2,0,0,1,0,0,0,1,0,2002
12,3,8,51,2,0,0,0,0,1,0,0,0,2002
8,8,8,50,4,0,0,1,0,1,0,0,0,2002
12,12,10,47,0,0,0,1,0,0,0,1,0,2002
10,12,5,46,1,0,0,1,0,0,0,0,0,2002
12,8,8,41,2,0,0,1,0,0,0,0,0,2002
12,6,13,36,4,0,0,1,0,1,0,0,0,2002
14,16,13,36,2,0,0,0,1,0,0,0,0,2002
11,12,10,39,4,0,0,1,0,0,0,1,0,2002
12,5,3,49,5,0,0,1,0,0,0,1,0,2002
11,4,8,53,5,0,0,1,0,1,0,0,0,2002
18,10,18,38,5,0,0,0,1,0,1,0,0,2002
14,16,12,39,5,0,1,0,0,0,0,1,0,2002
10,1,6,45,5,1,0,0,0,0,1,0,0,2002
16,16,16,41,4,0,0,1,0,0,0,0,0,2002
12,8,8,41,3,0,0,1,0,0,0,0,0,2002
8,8,8,48,2,0,0,0,0,0,0,1,0,2002
17,4,4,53,1,0,1,0,0,0,0,0,0,2002
12,5,5,44,3,0,1,0,0,0,0,1,0,2002
12,8,6,43,2,0,0,0,0,1,0,0,0,2002
8,0,0,52,0,0,1,0,0,0,0,1,0,2002
14,8,14,47,2,0,1,0,0,0,0,0,1,2002
12,12,8,39,0,0,0,1,0,1,0,0,0,2002
12,8,7,44,5,0,1,0,0,0,0,0,1,2002
8,8,8,43,5,0,1,0,0,0,0,0,1,2002
12,8,8,44,4,0,1,0,0,0,0,0,1,2002
9,8,8,43,6,0,1,0,0,0,0,0,1,2002
12,0,5,43,3,0,1,0,0,0,0,1,0,2002
12,9,7,42,0,1,0,0,0,0,0,1,0,2002
12,12,12,53,1,0,1,0,0,0,1,0,0,2002
12,9,14,45,1,0,0,0,0,1,0,0,0,2002
12,6,10,51,5,0,1,0,0,0,0,1,0,2002
13,0,0,46,1,1,0,0,0,0,0,0,0,2002
8,8,8,36,3,0,0,0,0,1,0,0,0,2002
9,6,6,50,0,0,0,1,0,0,0,0,0,2002
8,0,0,50,1,0,0,1,0,0,0,0,0,2002
12,6,8,44,3,0,1,0,0,0,0,0,1,2002
12,8,8,42,3,0,1,0,0,0,0,1,0,2002
16,12,13,42,7,0,0,1,0,0,0,1,0,2002
15,10,12,53,0,0,0,1,0,0,0,1,0,2002
12,14,12,36,3,0,0,0,1,0,0,1,0,2002
11,7,7,42,5,0,0,0,0,0,0,0,0,2002
16,8,13,40,3,0,0,0,1,0,0,1,0,2002
12,7,8,52,2,0,1,0,0,0,0,0,0,2002
12,8,6,43,3,0,1,0,0,0,0,0,0,2002
14,4,8,36,1,0,1,0,0,0,0,1,0,2002
14,7,12,48,7,0,0,1,0,1,0,0,0,2002
7,3,6,49,5,0,0,1,0,1,0,0,0,2002
12,8,8,41,5,0,0,1,0,1,0,0,0,2002
12,8,16,47,5,0,0,1,0,0,0,1,0,2002
12,12,12,48,4,0,1,0,0,0,0,0,1,2002
12,11,9,47,2,0,0,0,0,1,0,0,0,2002
12,12,9,36,6,0,1,0,0,0,0,1,0,2002
8,4,8,44,4,0,0,0,0,0,0,1,0,2002
9,7,7,46,3,0,0,0,0,1,0,0,0,2002
14,8,8,46,3,0,0,0,0,1,0,0,0,2002
8,0,0,50,6,0,0,0,0,1,0,0,0,2002
9,3,8,45,2,0,0,1,0,0,0,0,0,2002
12,8,8,43,4,0,0,0,0,0,0,0,0,2002
12,8,7,53,2,1,1,0,0,0,0,1,0,2002
12,9,11,35,2,1,0,0,0,0,0,0,0,2002
14,8,12,51,3,0,0,1,0,0,0,0,0,2002
11,6,9,45,5,0,0,1,0,0,0,0,0,2002
14,12,12,44,3,0,0,0,0,1,0,0,0,2002
14,12,14,49,0,0,0,0,0,1,0,0,0,2002
14,9,12,38,6,0,0,1,0,0,0,0,1,2002
16,8,10,51,2,0,0,0,1,1,0,0,0,2002
16,12,12,53,3,0,1,0,0,0,0,0,1,2002
12,12,12,49,0,0,1,0,0,0,0,1,0,2002
12,6,7,46,5,0,1,0,0,0,0,1,0,2002
12,8,13,48,3,0,0,1,0,1,0,0,0,2002
12,13,8,43,5,0,0,0,1,0,0,0,1,2002
13,3,12,49,3,1,0,0,1,0,0,0,0,2002
12,5,6,36,3,0,0,0,0,0,0,0,0,2002
15,12,9,36,2,0,1,0,0,0,0,0,0,2002
12,10,10,35,2,0,0,0,0,1,0,0,0,2002
15,16,16,42,3,0,0,1,0,0,0,0,1,2002
9,8,8,54,5,0,0,0,1,0,0,1,0,2002
12,12,8,45,2,0,0,1,0,0,0,0,1,2002
8,0,0,53,4,1,0,0,0,0,0,1,0,2002
15,16,16,48,2,0,0,0,0,0,0,0,0,2002
12,8,8,53,3,0,0,0,0,0,1,0,0,2002
12,3,2,41,5,0,1,0,0,0,1,0,0,2002
12,6,4,51,2,0,1,0,0,0,1,0,0,2002
12,8,8,54,2,0,1,0,0,0,0,0,0,2002
8,2,2,44,3,1,0,0,0,0,0,1,0,2002
12,4,7,35,6,1,0,0,0,0,0,1,0,2002
8,0,0,42,5,1,0,0,0,0,0,1,0,2002
10,12,9,51,2,0,0,1,0,0,0,0,0,2002
12,14,10,38,2,0,0,0,1,1,0,0,0,2002
12,6,8,51,3,0,0,0,0,1,0,0,0,2002
11,7,7,49,1,0,0,0,0,0,0,1,0,2002
12,10,12,39,6,0,0,0,1,0,0,1,0,2002
12,12,16,53,0,0,0,0,1,0,0,0,0,2002
12,7,12,50,6,0,0,0,1,0,0,1,0,2002
11,8,10,36,5,0,0,0,1,0,0,0,1,2002
12,9,12,36,2,0,1,0,0,0,1,0,0,2002
13,12,12,41,3,0,1,0,0,0,0,0,0,2002
12,12,12,43,1,0,1,0,0,0,0,1,0,2002
12,12,13,43,4,0,0,0,1,0,0,0,0,2002
18,10,12,52,0,0,0,0,1,1,0,0,0,2002
19,14,8,47,2,0,0,1,0,0,0,1,0,2002
16,20,15,44,1,0,0,0,0,0,0,0,1,2002
16,16,14,35,2,0,0,0,0,0,0,0,1,2002
12,8,4,51,2,0,1,0,0,0,0,1,0,2002
12,8,12,46,4,0,1,0,0,0,0,0,0,2002
6,0,0,54,0,0,0,0,0,0,0,0,0,2002
12,8,8,43,3,0,1,0,0,0,0,0,0,2002
13,13,12,47,2,0,0,1,0,0,0,1,0,2002
12,8,12,36,0,0,0,0,1,0,1,0,0,2002
12,8,13,42,2,0,0,0,1,0,0,0,0,2002
8,8,8,49,3,0,1,0,0,0,0,1,0,2002
11,7,8,54,6,1,0,0,0,0,0,1,0,2002
12,4,7,46,1,0,0,0,0,1,0,0,0,2002
10,7,7,50,1,0,0,0,0,0,1,0,0,2002
13,11,14,48,4,0,0,0,0,0,0,0,1,2002
14,10,10,53,1,0,0,0,0,1,0,0,0,2002
12,5,4,38,2,0,0,0,0,1,0,0,0,2002
15,16,12,44,6,0,0,1,0,0,0,0,0,2002
8,12,6,48,0,0,0,0,0,0,0,1,0,2002
9,0,3,37,6,0,0,0,1,0,0,0,1,2002
11,5,8,46,4,0,0,0,0,0,0,1,0,2002
12,9,7,48,7,0,1,0,0,0,0,1,0,2002
13,11,12,41,1,0,0,0,1,0,0,1,0,2002
16,6,8,49,3,0,1,0,0,0,0,0,1,2002
12,9,6,38,4,1,0,0,0,0,0,1,0,2002
12,10,8,44,1,0,0,1,0,0,0,1,0,2002
12,8,6,47,1,0,0,1,0,0,1,0,0,2002
10,8,8,42,4,0,1,0,0,0,0,0,0,2002
12,12,12,51,6,0,0,0,0,0,0,0,0,2002
13,12,13,48,5,0,0,0,0,0,0,0,0,2002
12,8,6,44,4,0,1,0,0,0,0,1,0,2002
15,8,11,37,6,0,1,0,0,0,1,0,0,2002
10,0,4,47,5,0,0,0,0,0,0,1,0,2002
12,3,7,39,2,0,0,0,0,0,0,1,0,2002
10,6,6,46,0,0,0,0,0,0,0,1,0,2002
16,6,6,50,4,0,1,0,0,0,0,0,0,2002
16,8,16,35,4,0,1,0,0,0,0,1,0,2002
12,10,8,48,4,0,1,0,0,0,0,0,0,2002
12,0,0,51,2,0,1,0,0,0,0,0,0,2002
10,8,8,42,4,0,1,0,0,0,0,0,0,2002
11,9,14,42,4,0,1,0,0,0,0,0,0,2002
16,12,12,45,3,0,1,0,0,0,0,1,0,2002
16,12,6,36,0,0,1,0,0,0,0,0,0,2002
12,8,8,41,2,0,1,0,0,0,0,0,0,2002
12,10,12,39,3,0,1,0,0,0,0,1,0,2002
13,12,8,46,6,0,1,0,0,0,0,0,0,2002
11,12,9,48,2,0,1,0,0,0,0,0,0,2002
12,8,8,38,4,0,1,0,0,0,0,0,0,2002
14,12,10,44,5,1,0,1,0,0,0,0,1,2002
12,16,13,47,0,0,0,0,0,0,0,0,0,2002
16,12,12,49,2,0,0,0,1,1,0,0,0,2002
12,6,6,42,3,0,0,0,0,0,0,1,0,2002
12,10,11,54,1,0,0,0,0,1,0,0,0,2004
13,6,11,35,3,0,0,0,0,0,0,1,0,2004
12,12,9,48,7,0,0,0,1,0,0,1,0,2004
12,4,4,50,3,0,0,0,0,1,0,0,0,2004
15,17,8,52,1,0,0,1,0,0,0,1,0,2004
12,12,11,40,3,0,0,0,0,0,0,0,1,2004
8,7,8,52,0,0,0,0,1,0,1,0,0,2004
11,3,8,52,4,0,0,0,1,0,0,1,0,2004
16,8,12,44,4,1,0,0,1,0,0,1,0,2004
12,6,12,53,2,0,0,1,0,0,0,1,0,2004
15,12,11,42,4,0,0,1,0,0,1,0,0,2004
15,9,9,43,2,0,0,0,1,0,0,0,0,2004
13,3,10,39,0,0,0,0,1,0,1,0,0,2004
12,4,5,53,5,0,0,0,1,0,0,1,0,2004
20,8,9,43,3,0,0,0,0,1,0,0,0,2004
13,8,12,42,5,0,0,0,1,0,0,0,0,2004
13,8,8,54,3,0,0,1,0,0,1,0,0,2004
15,18,12,38,4,0,0,0,1,0,0,0,0,2004
11,9,9,41,4,1,0,0,1,0,0,0,1,2004
16,12,13,43,3,0,1,0,0,0,0,0,0,2004
14,16,12,46,6,0,1,0,0,0,0,0,0,2004
12,8,8,54,4,0,0,0,1,0,0,0,0,2004
9,4,8,45,2,0,0,0,1,0,0,1,0,2004
13,9,9,38,4,0,0,1,0,0,0,1,0,2004
12,7,12,44,2,0,0,0,1,1,0,0,0,2004
9,4,4,50,4,0,1,0,0,0,0,0,0,2004
12,12,12,39,2,0,1,0,0,0,0,0,0,2004
12,8,8,52,1,0,1,0,0,0,0,0,1,2004
12,12,16,52,3,0,0,1,0,0,1,0,0,2004
12,0,6,49,1,0,1,0,0,0,0,1,0,2004
13,14,13,47,2,0,0,0,0,0,0,0,0,2004
12,12,10,39,2,0,1,0,0,0,0,0,1,2004
12,8,8,42,4,0,0,0,0,0,0,1,0,2004
7,5,9,45,6,0,0,0,0,0,0,1,0,2004
14,16,12,40,3,0,0,0,0,0,0,1,0,2004
10,6,3,54,3,1,0,0,0,0,0,0,1,2004
12,9,9,46,3,0,0,0,0,0,0,0,0,2004
12,0,0,52,3,0,0,1,0,0,0,0,1,2004
18,9,11,44,3,1,0,0,0,0,0,1,0,2004
13,7,8,42,1,0,0,0,0,0,0,0,0,2004
12,5,12,53,2,0,0,0,0,0,0,0,0,2004
12,7,7,39,3,0,0,0,0,0,0,1,0,2004
17,14,16,54,2,0,0,0,0,1,0,0,0,2004
12,12,12,38,3,0,0,1,0,0,0,0,0,2004
14,15,12,51,5,0,0,1,0,0,0,0,0,2004
14,12,10,44,4,0,1,0,0,0,0,0,0,2004
17,16,10,47,4,0,0,1,0,0,0,0,0,2004
12,12,8,53,3,0,0,1,0,0,0,0,0,2004
12,8,4,51,2,0,0,1,0,0,0,0,0,2004
13,6,8,49,5,0,0,1,0,0,0,0,0,2004
14,8,8,54,2,0,0,1,0,0,0,0,0,2004
12,12,12,36,4,0,0,1,0,0,0,1,0,2004
10,6,6,42,4,1,0,0,0,1,0,0,0,2004
11,10,10,40,3,0,0,1,0,0,0,0,1,2004
12,12,16,38,2,0,0,1,0,0,0,1,0,2004
15,6,6,48,6,1,0,1,0,0,0,0,1,2004
12,12,10,43,4,0,0,1,0,1,0,0,0,2004
12,12,12,51,1,0,0,1,0,0,0,0,1,2004
12,14,12,38,5,0,0,0,0,0,0,0,0,2004
13,11,12,37,3,1,0,0,0,0,1,0,0,2004
16,14,12,40,2,0,0,0,0,0,0,0,0,2004
12,6,0,50,4,0,1,0,0,1,0,0,0,2004
12,7,7,54,1,0,1,0,0,0,0,0,1,2004
13,13,5,51,5,0,0,1,0,0,0,0,0,2004
12,12,14,41,2,0,0,1,0,0,0,1,0,2004
12,8,8,48,2,0,0,1,0,0,0,0,0,2004
15,4,8,40,3,0,0,1,0,1,0,0,0,2004
12,4,4,46,2,0,0,1,0,0,0,1,0,2004
12,8,8,39,3,0,0,1,0,0,1,0,0,2004
8,8,8,35,4,0,0,0,0,1,0,0,0,2004
12,12,11,37,6,0,0,1,0,0,0,0,0,2004
12,8,8,53,4,0,0,1,0,0,1,0,0,2004
12,8,8,40,5,0,0,1,0,1,0,0,0,2004
12,11,12,35,6,0,0,1,0,0,1,0,0,2004
10,12,8,47,3,0,0,1,0,1,0,0,0,2004
10,8,8,44,3,0,0,1,0,1,0,0,0,2004
12,5,12,36,4,0,0,1,0,0,0,1,0,2004
17,14,13,47,5,0,0,1,0,0,0,0,0,2004
8,8,8,51,4,0,0,1,0,1,0,0,0,2004
12,8,12,49,2,0,0,1,0,0,0,1,0,2004
12,2,3,52,5,0,0,0,1,0,0,1,0,2004
12,6,8,42,6,0,0,0,1,0,0,1,0,2004
16,11,12,37,2,0,0,0,1,0,0,1,0,2004
12,8,8,40,2,0,1,0,0,0,0,0,1,2004
12,12,12,48,2,0,1,0,0,0,0,1,0,2004
18,18,15,36,2,0,1,0,0,0,0,1,0,2004
17,15,9,44,3,0,1,0,0,0,0,0,1,2004
10,8,5,46,5,0,1,0,0,0,0,0,0,2004
10,6,10,42,4,0,1,0,0,0,0,0,0,2004
12,0,0,53,0,0,1,0,0,0,1,0,0,2004
12,8,8,38,2,0,1,0,0,0,0,0,0,2004
17,8,12,38,2,0,1,0,0,0,0,0,0,2004
13,16,12,40,3,0,1,0,0,0,0,0,0,2004
18,9,10,46,0,0,0,1,0,0,0,0,0,2004
12,12,12,48,2,1,1,0,0,0,0,0,0,2004
12,10,14,35,2,0,1,0,0,0,0,0,0,2004
16,20,12,52,2,0,0,1,0,0,0,0,0,2004
12,16,12,51,2,0,1,0,0,0,0,0,0,2004
16,12,16,41,4,0,1,0,0,0,0,1,0,2004
12,12,8,36,6,1,1,0,0,0,0,1,0,2004
10,8,10,37,4,0,0,1,0,0,0,0,0,2004
16,19,7,40,3,0,1,0,0,0,0,0,1,2004
8,6,8,39,2,0,0,0,0,0,0,1,0,2004
12,11,10,38,3,0,0,0,0,0,1,0,0,2004
11,6,7,38,1,0,0,0,0,1,0,0,0,2004
10,4,7,43,1,0,0,0,0,1,0,0,0,2004
12,7,12,44,3,0,0,0,0,1,0,0,0,2004
10,8,8,51,3,0,0,1,0,0,0,1,0,2004
12,8,12,47,3,0,0,1,0,0,1,0,0,2004
11,8,8,44,6,0,0,1,0,0,0,0,1,2004
12,8,8,45,3,0,0,1,0,0,0,0,0,2004
12,13,12,41,4,0,0,1,0,1,0,0,0,2004
16,12,15,47,2,0,0,0,0,1,0,0,0,2004
12,8,11,36,3,0,0,1,0,1,0,0,0,2004
12,3,8,54,4,0,0,1,0,1,0,0,0,2004
13,10,8,46,3,0,0,0,0,1,0,0,0,2004
12,8,8,48,4,0,0,1,0,0,1,0,0,2004
12,6,10,39,3,0,0,0,1,1,0,0,0,2004
7,8,8,50,4,0,1,0,0,0,0,1,0,2004
12,12,8,38,2,0,1,0,0,0,0,0,0,2004
14,6,6,37,4,0,1,0,0,0,0,0,0,2004
12,5,8,42,4,0,1,0,0,0,0,0,0,2004
12,8,11,35,5,0,1,0,0,0,0,0,0,2004
12,12,15,42,5,0,1,0,0,0,0,0,1,2004
13,8,12,37,2,0,1,0,0,0,0,1,0,2004
10,5,5,36,2,0,1,0,0,0,0,1,0,2004
12,8,11,42,3,0,1,0,0,0,0,0,0,2004
12,8,8,44,6,0,1,0,0,0,0,1,0,2004
12,12,8,53,1,0,1,0,0,0,0,0,0,2004
12,8,8,54,3,0,1,0,0,0,0,1,0,2004
12,4,5,42,5,0,1,0,0,0,0,1,0,2004
12,12,8,44,2,0,1,0,0,0,0,1,0,2004
12,11,12,41,5,0,0,0,0,1,0,0,0,2004
15,10,11,42,4,0,0,0,0,0,0,1,0,2004
12,3,9,41,5,0,0,0,0,0,1,0,0,2004
16,16,16,37,3,0,0,0,0,0,0,0,1,2004
12,8,10,36,4,0,0,1,0,0,1,0,0,2004
4,8,8,35,4,0,0,0,0,0,1,0,0,2004
10,10,10,48,0,0,0,0,0,1,0,0,0,2004
8,8,7,46,2,0,0,0,0,1,0,0,0,2004
10,3,8,53,5,0,0,0,0,1,0,0,0,2004
12,9,8,45,3,0,0,0,0,1,0,0,0,2004
12,8,8,50,2,0,0,0,0,0,0,1,0,2004
8,9,2,43,6,0,0,0,0,0,0,0,0,2004
16,16,16,48,3,0,0,0,1,0,0,1,0,2004
14,12,14,37,1,0,0,1,0,0,0,1,0,2004
12,12,13,42,2,0,0,0,0,0,0,1,0,2004
13,16,11,35,4,0,0,0,0,0,0,0,0,2004
5,0,0,51,6,0,0,0,0,1,0,0,0,2004
12,3,5,38,6,0,0,0,0,0,0,1,0,2004
12,6,6,37,6,0,0,0,0,1,0,0,0,2004
16,4,4,52,2,0,0,0,0,1,0,0,0,2004
14,9,12,53,3,0,0,0,0,0,0,1,0,2004
7,4,0,37,0,0,0,0,0,1,0,0,0,2004
10,0,0,50,5,0,0,0,0,1,0,0,0,2004
12,7,12,39,3,0,1,0,0,0,1,0,0,2004
8,8,10,40,2,0,0,0,0,1,0,0,0,2004
10,12,11,43,4,0,0,0,1,0,0,1,0,2004
6,3,5,44,1,0,0,0,0,0,1,0,0,2004
17,12,13,46,2,0,0,0,0,0,0,1,0,2004
12,10,12,54,6,1,0,0,0,0,0,1,0,2004
12,12,14,35,3,0,0,1,0,0,0,0,0,2004
11,8,8,44,4,0,0,1,0,1,0,0,0,2004
12,6,9,45,1,0,0,1,0,0,0,1,0,2004
12,8,8,46,4,0,0,1,0,0,0,0,0,2004
12,8,8,38,3,0,0,1,0,0,1,0,0,2004
12,8,12,44,2,0,0,1,0,0,0,1,0,2004
13,10,11,53,4,0,0,1,0,0,0,0,0,2004
16,6,12,43,4,0,0,1,0,0,0,1,0,2004
12,8,12,40,3,0,0,1,0,0,0,0,1,2004
12,12,6,37,4,0,0,1,0,1,0,0,0,2004
12,8,8,38,4,0,0,1,0,0,0,1,0,2004
12,8,11,39,4,0,0,1,0,0,0,1,0,2004
12,12,12,51,1,0,1,0,0,0,1,0,0,2006
11,6,6,40,4,0,1,0,0,1,0,0,0,2006
16,11,16,44,3,0,1,0,0,0,0,1,0,2006
10,6,10,42,4,0,1,0,0,0,0,0,1,2006
12,12,12,53,2,0,0,1,0,0,0,0,0,2006
16,6,12,36,2,0,0,0,0,0,0,0,0,2006
13,12,11,43,2,0,0,0,0,1,0,0,0,2006
12,14,7,39,2,0,0,0,0,1,0,0,0,2006
12,5,5,52,3,1,0,0,0,0,0,1,0,2006
3,7,10,41,7,0,0,0,0,1,0,0,0,2006
9,4,9,44,4,0,0,0,0,0,1,0,0,2006
9,3,4,38,3,0,0,0,1,1,0,0,0,2006
10,3,6,52,3,0,1,0,0,0,0,1,0,2006
11,7,8,53,2,0,1,0,0,0,0,1,0,2006
16,12,13,42,0,0,0,1,0,1,0,0,0,2006
16,12,14,36,0,0,0,0,0,0,0,1,0,2006
15,2,7,39,4,0,0,0,1,0,1,0,0,2006
11,6,12,49,0,0,0,1,0,0,0,1,0,2006
13,13,13,48,2,0,0,1,0,1,0,0,0,2006
18,14,16,37,1,0,0,0,0,0,0,1,0,2006
15,6,6,39,0,0,0,0,0,0,0,1,0,2006
11,3,5,37,3,0,0,0,0,0,0,1,0,2006
12,6,12,35,4,0,1,0,0,0,0,0,1,2006
19,17,16,48,5,0,1,0,0,0,0,0,0,2006
16,3,8,37,0,0,0,0,1,0,1,0,0,2006
10,0,8,49,2,0,1,0,0,0,0,0,0,2006
20,20,10,39,1,0,1,0,0,0,0,0,0,2006
10,8,8,54,4,0,1,0,0,1,0,0,0,2006
12,8,8,36,2,0,1,0,0,1,0,0,0,2006
12,12,12,39,2,0,1,0,0,0,0,1,0,2006
12,12,8,46,4,0,1,0,0,0,0,1,0,2006
12,5,8,51,2,0,0,1,0,0,0,1,0,2006
13,10,12,38,4,0,0,1,0,0,0,0,0,2006
11,12,12,41,3,0,0,1,0,0,1,0,0,2006
12,10,11,36,3,0,0,1,0,0,0,1,0,2006
12,8,6,38,4,0,0,1,0,0,0,0,0,2006
5,4,3,49,0,0,0,0,0,1,0,0,0,2006
12,11,10,38,1,0,0,0,0,0,1,0,0,2006
9,16,12,36,4,0,0,0,0,0,0,0,0,2006
16,8,8,41,3,0,0,0,0,1,0,0,0,2006
11,4,4,51,3,0,0,0,0,1,0,0,0,2006
12,12,12,37,3,0,0,0,1,0,0,0,1,2006
18,12,12,40,0,0,0,1,0,0,0,0,0,2006
12,8,8,47,7,1,0,0,0,0,0,0,1,2006
12,8,8,49,6,0,0,0,1,1,0,0,0,2006
12,3,5,53,3,0,0,1,0,0,0,1,0,2006
12,12,12,37,2,0,1,0,0,0,0,1,0,2006
